#	Isochrone	Z = 0.00000		Age = 	1.995e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	u' 	g' 	r' 	i' 	z' 	Flum
	6.35	11.11231041	11.1119	4.0023	4.6868	5.1746	-5.236	-1.686	-1.228	-0.686	-0.310	0.052	-0.02869659
	6.35	11.93859577	11.9381	4.0980	4.7077	5.1939	-5.475	-1.821	-1.355	-0.813	-0.436	-0.076	-0.02604830
	6.35	12.00000000	11.9995	4.1048	4.7092	5.1953	-5.492	-1.836	-1.369	-0.828	-0.451	-0.091	-0.02586852
	6.35	12.97204971	12.9717	4.2032	4.7272	5.2026	-5.738	-2.057	-1.581	-1.046	-0.668	-0.313	-0.02328652
	6.35	15.00000000	15.0000	4.3856	4.7569	5.2022	-6.194	-2.432	-1.943	-1.414	-1.035	-0.683	-0.01914005
	6.35	16.80175400	16.8018	4.5190	4.7719	5.1779	-6.527	-2.668	-2.176	-1.643	-1.263	-0.910	-0.01642243
	6.35	20.00000000	20.0000	4.7259	4.7942	5.1358	-7.045	-3.039	-2.541	-2.005	-1.623	-1.268	-0.01298003
	6.35	21.82872581	21.8287	4.8236	4.8039	5.1150	-7.289	-3.219	-2.719	-2.182	-1.798	-1.442	-0.01153395
	6.35	27.32630730	27.3263	5.0775	4.8277	5.0538	-7.924	-3.696	-3.190	-2.649	-2.264	-1.907	-0.00851691
	6.35	30.00000000	30.0000	5.1839	4.8369	5.0247	-8.190	-3.900	-3.394	-2.850	-2.464	-2.106	-0.00750849
	6.35	31.71714211	31.7171	5.2393	4.8410	5.0099	-8.328	-4.012	-3.504	-2.960	-2.573	-2.215	-0.00696497
	6.35	37.60330200	37.6033	5.4100	4.8522	4.9580	-8.755	-4.363	-3.854	-3.307	-2.920	-2.561	-0.00553492
	6.35	43.63319397	43.6332	5.5593	4.8603	4.9059	-9.128	-4.681	-4.170	-3.623	-3.235	-2.876	-0.00452807
	6.35	49.12796402	49.1280	5.6792	4.8650	4.8561	-9.428	-4.950	-4.438	-3.890	-3.502	-3.142	-0.00385809
	6.35	50.00000000	50.0000	5.6970	4.8655	4.8479	-9.473	-4.991	-4.479	-3.931	-3.543	-3.183	-0.00376753
	6.35	54.87753296	54.8775	5.7784	4.8665	4.8109	-9.676	-5.188	-4.675	-4.127	-3.739	-3.379	-0.00332264
	6.35	61.29551315	61.2955	5.8751	4.8661	4.7609	-9.918	-5.432	-4.919	-4.372	-3.983	-3.624	-0.00286179
	6.35	67.06452179	67.0645	5.9539	4.8643	4.7137	-10.115	-5.641	-5.129	-4.582	-4.194	-3.834	-0.00253455
	6.35	70.00000000	70.0000	5.9913	4.8628	4.6889	-10.208	-5.745	-5.233	-4.686	-4.298	-3.938	-0.00239213
	6.35	73.98570251	73.9857	6.0344	4.8601	4.6591	-10.316	-5.871	-5.360	-4.813	-4.425	-4.065	-0.00221981
	6.35	80.14228058	80.1423	6.0965	4.8550	4.6115	-10.471	-6.060	-5.550	-5.004	-4.616	-4.257	-0.00199275
	6.35	86.01441956	86.0144	6.1513	4.8494	4.5647	-10.608	-6.236	-5.727	-5.181	-4.794	-4.435	-0.00181132
	6.35	91.59665680	91.5967	6.2001	4.8430	4.5177	-10.730	-6.400	-5.892	-5.348	-4.961	-4.603	-0.00166391
	6.35	96.89424896	96.8942	6.2436	4.8360	4.4709	-10.839	-6.555	-6.048	-5.505	-5.119	-4.761	-0.00154228
	6.35	100.00000000	100.0000	6.2678	4.8317	4.4432	-10.899	-6.644	-6.138	-5.596	-5.210	-4.853	-0.00147797
	6.35	103.57817078	103.5782	6.2927	4.8267	4.4134	-10.962	-6.740	-6.235	-5.694	-5.309	-4.952	-0.00140946
	6.35	108.20401764	108.2040	6.3237	4.8195	4.3724	-11.039	-6.866	-6.362	-5.822	-5.438	-5.081	-0.00132873
	6.35	113.05197906	113.0520	6.3546	4.8116	4.3290	-11.117	-6.996	-6.494	-5.955	-5.571	-5.215	-0.00125239
	6.35	117.29566956	117.2957	6.3806	4.8043	4.2900	-11.182	-7.109	-6.609	-6.071	-5.688	-5.332	-0.00119161
	6.35	120.00000000	120.0000	6.3967	4.7998	4.2656	-11.222	-7.179	-6.680	-6.143	-5.760	-5.404	-0.00115550
	6.35	122.04854584	122.0468	6.4074	4.7963	4.2484	-11.248	-7.229	-6.731	-6.194	-5.811	-5.456	-0.00112940
	6.35	148.48289490	148.4552	6.5309	4.7399	3.9844	-11.557	-7.856	-7.374	-6.844	-6.465	-6.112	-0.00086677
	6.35	176.62623596	176.5636	6.6391	4.6571	3.6201	-11.828	-8.494	-8.046	-7.509	-7.134	-6.774	-0.00068571
	6.35	191.23796082	191.1544	6.6884	4.5986	3.3713	-11.951	-9.023	-8.598	-8.072	-7.701	-7.346	-0.00061594
	6.35	206.13497925	206.0283	6.7349	4.5231	3.0555	-12.067	-9.554	-9.183	-8.668	-8.297	-7.948	-0.00055662
	6.35	224.34451294	224.2071	6.7866	4.3910	2.5118	-12.197	-10.180	-9.962	-9.502	-9.158	-8.843	-0.00049651
	6.35	230.47712708	230.3288	6.8032	4.3222	2.2319	-12.238	-10.420	-10.344	-9.912	-9.587	-9.295	-0.00047876
	6.35	234.80203247	234.6459	6.8149	4.2592	1.9764	-12.267	-10.718	-10.713	-10.324	-10.021	-9.752	-0.00046689
